assay,condition,condition_name,model_interpretation,biological_replicate,readout,value,unit
CD8_T_cell_transwell_migration,G1,Control,baseline,BioRep1,migration_index,0.88,fold_vs_G1_mean
CD8_T_cell_transwell_migration,G1,Control,baseline,BioRep2,migration_index,1.05,fold_vs_G1_mean
CD8_T_cell_transwell_migration,G1,Control,baseline,BioRep3,migration_index,1.18,fold_vs_G1_mean
CD8_T_cell_transwell_migration,G1,Control,baseline,BioRep4,migration_index,0.94,fold_vs_G1_mean
CD8_T_cell_transwell_migration,G2,IFN activation,responder-like / scTIME-AI-high,BioRep1,migration_index,2.05,fold_vs_G1_mean
CD8_T_cell_transwell_migration,G2,IFN activation,responder-like / scTIME-AI-high,BioRep2,migration_index,2.45,fold_vs_G1_mean
CD8_T_cell_transwell_migration,G2,IFN activation,responder-like / scTIME-AI-high,BioRep3,migration_index,2.72,fold_vs_G1_mean
CD8_T_cell_transwell_migration,G2,IFN activation,responder-like / scTIME-AI-high,BioRep4,migration_index,1.55,fold_vs_G1_mean
CD8_T_cell_transwell_migration,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep1,migration_index,1.22,fold_vs_G1_mean
CD8_T_cell_transwell_migration,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep2,migration_index,1.65,fold_vs_G1_mean
CD8_T_cell_transwell_migration,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep3,migration_index,1.4,fold_vs_G1_mean
CD8_T_cell_transwell_migration,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep4,migration_index,1.95,fold_vs_G1_mean
CD8_T_cell_transwell_migration,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep1,migration_index,1.05,fold_vs_G1_mean
CD8_T_cell_transwell_migration,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep2,migration_index,1.7,fold_vs_G1_mean
CD8_T_cell_transwell_migration,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep3,migration_index,1.28,fold_vs_G1_mean
CD8_T_cell_transwell_migration,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep4,migration_index,1.82,fold_vs_G1_mean
CD8_T_cell_transwell_migration,G5,IFN + exclusion rescue,rescued responder-like state,BioRep1,migration_index,1.55,fold_vs_G1_mean
CD8_T_cell_transwell_migration,G5,IFN + exclusion rescue,rescued responder-like state,BioRep2,migration_index,2.15,fold_vs_G1_mean
CD8_T_cell_transwell_migration,G5,IFN + exclusion rescue,rescued responder-like state,BioRep3,migration_index,1.85,fold_vs_G1_mean
CD8_T_cell_transwell_migration,G5,IFN + exclusion rescue,rescued responder-like state,BioRep4,migration_index,2.4,fold_vs_G1_mean
