assay,condition,condition_name,model_interpretation,biological_replicate,analyte,value,unit
CD8_activation_cytotoxicity,G1,Control,baseline,BioRep1,IFNG_pg_ml,210.0,pg/mL
CD8_activation_cytotoxicity,G1,Control,baseline,BioRep1,GranzymeB_pg_ml,60.0,pg/mL
CD8_activation_cytotoxicity,G1,Control,baseline,BioRep1,TNFA_pg_ml,70.0,pg/mL
CD8_activation_cytotoxicity,G1,Control,baseline,BioRep1,IL2_pg_ml,28.0,pg/mL
CD8_activation_cytotoxicity,G1,Control,baseline,BioRep1,LDH_killing_index,0.86,fold_vs_G1_mean
CD8_activation_cytotoxicity,G1,Control,baseline,BioRep1,Caspase3_7_index,0.82,fold_vs_G1_mean
CD8_activation_cytotoxicity,G1,Control,baseline,BioRep1,tumor_viability_loss_pct,14.0,%
CD8_activation_cytotoxicity,G1,Control,baseline,BioRep2,IFNG_pg_ml,360.0,pg/mL
CD8_activation_cytotoxicity,G1,Control,baseline,BioRep2,GranzymeB_pg_ml,95.0,pg/mL
CD8_activation_cytotoxicity,G1,Control,baseline,BioRep2,TNFA_pg_ml,110.0,pg/mL
CD8_activation_cytotoxicity,G1,Control,baseline,BioRep2,IL2_pg_ml,50.0,pg/mL
CD8_activation_cytotoxicity,G1,Control,baseline,BioRep2,LDH_killing_index,1.1,fold_vs_G1_mean
CD8_activation_cytotoxicity,G1,Control,baseline,BioRep2,Caspase3_7_index,1.08,fold_vs_G1_mean
CD8_activation_cytotoxicity,G1,Control,baseline,BioRep2,tumor_viability_loss_pct,22.0,%
CD8_activation_cytotoxicity,G1,Control,baseline,BioRep3,IFNG_pg_ml,280.0,pg/mL
CD8_activation_cytotoxicity,G1,Control,baseline,BioRep3,GranzymeB_pg_ml,75.0,pg/mL
CD8_activation_cytotoxicity,G1,Control,baseline,BioRep3,TNFA_pg_ml,85.0,pg/mL
CD8_activation_cytotoxicity,G1,Control,baseline,BioRep3,IL2_pg_ml,36.0,pg/mL
CD8_activation_cytotoxicity,G1,Control,baseline,BioRep3,LDH_killing_index,0.95,fold_vs_G1_mean
CD8_activation_cytotoxicity,G1,Control,baseline,BioRep3,Caspase3_7_index,0.96,fold_vs_G1_mean
CD8_activation_cytotoxicity,G1,Control,baseline,BioRep3,tumor_viability_loss_pct,17.0,%
CD8_activation_cytotoxicity,G1,Control,baseline,BioRep4,IFNG_pg_ml,190.0,pg/mL
CD8_activation_cytotoxicity,G1,Control,baseline,BioRep4,GranzymeB_pg_ml,55.0,pg/mL
CD8_activation_cytotoxicity,G1,Control,baseline,BioRep4,TNFA_pg_ml,64.0,pg/mL
CD8_activation_cytotoxicity,G1,Control,baseline,BioRep4,IL2_pg_ml,24.0,pg/mL
CD8_activation_cytotoxicity,G1,Control,baseline,BioRep4,LDH_killing_index,1.2,fold_vs_G1_mean
CD8_activation_cytotoxicity,G1,Control,baseline,BioRep4,Caspase3_7_index,1.15,fold_vs_G1_mean
CD8_activation_cytotoxicity,G1,Control,baseline,BioRep4,tumor_viability_loss_pct,24.0,%
CD8_activation_cytotoxicity,G2,IFN activation,responder-like / scTIME-AI-high,BioRep1,IFNG_pg_ml,780.0,pg/mL
CD8_activation_cytotoxicity,G2,IFN activation,responder-like / scTIME-AI-high,BioRep1,GranzymeB_pg_ml,210.0,pg/mL
CD8_activation_cytotoxicity,G2,IFN activation,responder-like / scTIME-AI-high,BioRep1,TNFA_pg_ml,185.0,pg/mL
CD8_activation_cytotoxicity,G2,IFN activation,responder-like / scTIME-AI-high,BioRep1,IL2_pg_ml,100.0,pg/mL
CD8_activation_cytotoxicity,G2,IFN activation,responder-like / scTIME-AI-high,BioRep1,LDH_killing_index,1.85,fold_vs_G1_mean
CD8_activation_cytotoxicity,G2,IFN activation,responder-like / scTIME-AI-high,BioRep1,Caspase3_7_index,2.0,fold_vs_G1_mean
CD8_activation_cytotoxicity,G2,IFN activation,responder-like / scTIME-AI-high,BioRep1,tumor_viability_loss_pct,39.0,%
CD8_activation_cytotoxicity,G2,IFN activation,responder-like / scTIME-AI-high,BioRep2,IFNG_pg_ml,1260.0,pg/mL
CD8_activation_cytotoxicity,G2,IFN activation,responder-like / scTIME-AI-high,BioRep2,GranzymeB_pg_ml,390.0,pg/mL
CD8_activation_cytotoxicity,G2,IFN activation,responder-like / scTIME-AI-high,BioRep2,TNFA_pg_ml,310.0,pg/mL
CD8_activation_cytotoxicity,G2,IFN activation,responder-like / scTIME-AI-high,BioRep2,IL2_pg_ml,180.0,pg/mL
CD8_activation_cytotoxicity,G2,IFN activation,responder-like / scTIME-AI-high,BioRep2,LDH_killing_index,2.55,fold_vs_G1_mean
CD8_activation_cytotoxicity,G2,IFN activation,responder-like / scTIME-AI-high,BioRep2,Caspase3_7_index,2.8,fold_vs_G1_mean
CD8_activation_cytotoxicity,G2,IFN activation,responder-like / scTIME-AI-high,BioRep2,tumor_viability_loss_pct,56.0,%
CD8_activation_cytotoxicity,G2,IFN activation,responder-like / scTIME-AI-high,BioRep3,IFNG_pg_ml,980.0,pg/mL
CD8_activation_cytotoxicity,G2,IFN activation,responder-like / scTIME-AI-high,BioRep3,GranzymeB_pg_ml,320.0,pg/mL
CD8_activation_cytotoxicity,G2,IFN activation,responder-like / scTIME-AI-high,BioRep3,TNFA_pg_ml,260.0,pg/mL
CD8_activation_cytotoxicity,G2,IFN activation,responder-like / scTIME-AI-high,BioRep3,IL2_pg_ml,145.0,pg/mL
CD8_activation_cytotoxicity,G2,IFN activation,responder-like / scTIME-AI-high,BioRep3,LDH_killing_index,2.25,fold_vs_G1_mean
CD8_activation_cytotoxicity,G2,IFN activation,responder-like / scTIME-AI-high,BioRep3,Caspase3_7_index,2.4,fold_vs_G1_mean
CD8_activation_cytotoxicity,G2,IFN activation,responder-like / scTIME-AI-high,BioRep3,tumor_viability_loss_pct,48.0,%
CD8_activation_cytotoxicity,G2,IFN activation,responder-like / scTIME-AI-high,BioRep4,IFNG_pg_ml,560.0,pg/mL
CD8_activation_cytotoxicity,G2,IFN activation,responder-like / scTIME-AI-high,BioRep4,GranzymeB_pg_ml,180.0,pg/mL
CD8_activation_cytotoxicity,G2,IFN activation,responder-like / scTIME-AI-high,BioRep4,TNFA_pg_ml,150.0,pg/mL
CD8_activation_cytotoxicity,G2,IFN activation,responder-like / scTIME-AI-high,BioRep4,IL2_pg_ml,75.0,pg/mL
CD8_activation_cytotoxicity,G2,IFN activation,responder-like / scTIME-AI-high,BioRep4,LDH_killing_index,1.45,fold_vs_G1_mean
CD8_activation_cytotoxicity,G2,IFN activation,responder-like / scTIME-AI-high,BioRep4,Caspase3_7_index,1.55,fold_vs_G1_mean
CD8_activation_cytotoxicity,G2,IFN activation,responder-like / scTIME-AI-high,BioRep4,tumor_viability_loss_pct,32.0,%
CD8_activation_cytotoxicity,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep1,IFNG_pg_ml,420.0,pg/mL
CD8_activation_cytotoxicity,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep1,GranzymeB_pg_ml,135.0,pg/mL
CD8_activation_cytotoxicity,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep1,TNFA_pg_ml,115.0,pg/mL
CD8_activation_cytotoxicity,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep1,IL2_pg_ml,58.0,pg/mL
CD8_activation_cytotoxicity,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep1,LDH_killing_index,1.2,fold_vs_G1_mean
CD8_activation_cytotoxicity,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep1,Caspase3_7_index,1.25,fold_vs_G1_mean
CD8_activation_cytotoxicity,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep1,tumor_viability_loss_pct,24.0,%
CD8_activation_cytotoxicity,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep2,IFNG_pg_ml,720.0,pg/mL
CD8_activation_cytotoxicity,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep2,GranzymeB_pg_ml,230.0,pg/mL
CD8_activation_cytotoxicity,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep2,TNFA_pg_ml,190.0,pg/mL
CD8_activation_cytotoxicity,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep2,IL2_pg_ml,92.0,pg/mL
CD8_activation_cytotoxicity,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep2,LDH_killing_index,1.65,fold_vs_G1_mean
CD8_activation_cytotoxicity,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep2,Caspase3_7_index,1.7,fold_vs_G1_mean
CD8_activation_cytotoxicity,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep2,tumor_viability_loss_pct,34.0,%
CD8_activation_cytotoxicity,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep3,IFNG_pg_ml,560.0,pg/mL
CD8_activation_cytotoxicity,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep3,GranzymeB_pg_ml,170.0,pg/mL
CD8_activation_cytotoxicity,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep3,TNFA_pg_ml,145.0,pg/mL
CD8_activation_cytotoxicity,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep3,IL2_pg_ml,72.0,pg/mL
CD8_activation_cytotoxicity,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep3,LDH_killing_index,1.38,fold_vs_G1_mean
CD8_activation_cytotoxicity,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep3,Caspase3_7_index,1.45,fold_vs_G1_mean
CD8_activation_cytotoxicity,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep3,tumor_viability_loss_pct,28.0,%
CD8_activation_cytotoxicity,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep4,IFNG_pg_ml,860.0,pg/mL
CD8_activation_cytotoxicity,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep4,GranzymeB_pg_ml,280.0,pg/mL
CD8_activation_cytotoxicity,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep4,TNFA_pg_ml,220.0,pg/mL
CD8_activation_cytotoxicity,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep4,IL2_pg_ml,108.0,pg/mL
CD8_activation_cytotoxicity,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep4,LDH_killing_index,1.85,fold_vs_G1_mean
CD8_activation_cytotoxicity,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep4,Caspase3_7_index,1.95,fold_vs_G1_mean
CD8_activation_cytotoxicity,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep4,tumor_viability_loss_pct,40.0,%
