assay,condition,condition_name,model_interpretation,biological_replicate,gene,relative_expression_vs_G1,log2_relative_expression
CD8_T_cell_qPCR,G1,Control,baseline,BioRep1,GZMB,1.0,0.0
CD8_T_cell_qPCR,G1,Control,baseline,BioRep1,PRF1,1.0,0.0
CD8_T_cell_qPCR,G1,Control,baseline,BioRep1,IFNG,0.933,-0.1
CD8_T_cell_qPCR,G1,Control,baseline,BioRep1,CXCR3,1.035,0.05
CD8_T_cell_qPCR,G1,Control,baseline,BioRep1,CD69,1.0,0.0
CD8_T_cell_qPCR,G1,Control,baseline,BioRep2,GZMB,1.189,0.25
CD8_T_cell_qPCR,G1,Control,baseline,BioRep2,PRF1,1.149,0.2
CD8_T_cell_qPCR,G1,Control,baseline,BioRep2,IFNG,1.275,0.35
CD8_T_cell_qPCR,G1,Control,baseline,BioRep2,CXCR3,1.149,0.2
CD8_T_cell_qPCR,G1,Control,baseline,BioRep2,CD69,1.189,0.25
CD8_T_cell_qPCR,G1,Control,baseline,BioRep3,GZMB,0.901,-0.15
CD8_T_cell_qPCR,G1,Control,baseline,BioRep3,PRF1,0.933,-0.1
CD8_T_cell_qPCR,G1,Control,baseline,BioRep3,IFNG,1.035,0.05
CD8_T_cell_qPCR,G1,Control,baseline,BioRep3,CXCR3,0.901,-0.15
CD8_T_cell_qPCR,G1,Control,baseline,BioRep3,CD69,0.966,-0.05
CD8_T_cell_qPCR,G1,Control,baseline,BioRep4,GZMB,1.072,0.1
CD8_T_cell_qPCR,G1,Control,baseline,BioRep4,PRF1,1.035,0.05
CD8_T_cell_qPCR,G1,Control,baseline,BioRep4,IFNG,0.871,-0.2
CD8_T_cell_qPCR,G1,Control,baseline,BioRep4,CXCR3,1.0,0.0
CD8_T_cell_qPCR,G1,Control,baseline,BioRep4,CD69,1.035,0.05
CD8_T_cell_qPCR,G2,IFN activation,responder-like / scTIME-AI-high,BioRep1,GZMB,3.364,1.75
CD8_T_cell_qPCR,G2,IFN activation,responder-like / scTIME-AI-high,BioRep1,PRF1,2.219,1.15
CD8_T_cell_qPCR,G2,IFN activation,responder-like / scTIME-AI-high,BioRep1,IFNG,3.864,1.95
CD8_T_cell_qPCR,G2,IFN activation,responder-like / scTIME-AI-high,BioRep1,CXCR3,1.866,0.9
CD8_T_cell_qPCR,G2,IFN activation,responder-like / scTIME-AI-high,BioRep1,CD69,2.549,1.35
CD8_T_cell_qPCR,G2,IFN activation,responder-like / scTIME-AI-high,BioRep2,GZMB,5.098,2.35
CD8_T_cell_qPCR,G2,IFN activation,responder-like / scTIME-AI-high,BioRep2,PRF1,3.249,1.7
CD8_T_cell_qPCR,G2,IFN activation,responder-like / scTIME-AI-high,BioRep2,IFNG,5.856,2.55
CD8_T_cell_qPCR,G2,IFN activation,responder-like / scTIME-AI-high,BioRep2,CXCR3,2.462,1.3
CD8_T_cell_qPCR,G2,IFN activation,responder-like / scTIME-AI-high,BioRep2,CD69,3.864,1.95
CD8_T_cell_qPCR,G2,IFN activation,responder-like / scTIME-AI-high,BioRep3,GZMB,4.141,2.05
CD8_T_cell_qPCR,G2,IFN activation,responder-like / scTIME-AI-high,BioRep3,PRF1,2.732,1.45
