condition,condition_name,model_interpretation,biological_replicate,B2M,CA9,CD274,CXCL10,CXCL11,CXCL9,HLA-A,IFIT1,SPP1,STAT1,TGFB1,VEGFA,CD69,CXCR3,GZMB,IFNG,PRF1,CXCL10_bioavailable_pg_ml,CXCL11_pg_ml,CXCL9_pg_ml,SPP1_pg_ml,TGFB1_pg_ml,celltiter_glo_pct,migration_index,Caspase3_7_index,GranzymeB_pg_ml,IFNG_pg_ml,IL2_pg_ml,LDH_killing_index,TNFA_pg_ml,tumor_viability_loss_pct
G1,Control,baseline,BioRep1,0.537,-0.385,0.106,0.255,0.138,0.153,-0.068,-0.037,0.178,-0.162,0.072,0.306,0.0,0.05,0.0,-0.1,0.0,60.0,30.0,45.0,450.0,75.0,98.0,0.88,0.82,60.0,210.0,28.0,0.86,70.0,14.0
G1,Control,baseline,BioRep2,0.107,0.238,0.244,-0.283,0.036,-0.041,0.373,-0.095,0.261,0.001,0.123,-0.236,0.25,0.2,0.25,0.35,0.2,92.0,42.0,66.0,600.0,92.0,102.0,1.05,1.08,95.0,360.0,50.0,1.1,110.0,22.0
G1,Control,baseline,BioRep3,-0.218,0.051,-0.127,0.227,0.104,0.183,0.031,0.305,-0.236,0.017,-0.074,0.224,-0.05,-0.15,-0.15,0.05,-0.1,105.0,50.0,80.0,540.0,105.0,96.0,1.18,0.96,75.0,280.0,36.0,0.95,85.0,17.0
G1,Control,baseline,BioRep4,-0.427,0.096,-0.223,-0.198,-0.276,-0.295,-0.336,-0.171,-0.203,0.143,-0.12,-0.293,0.05,0.0,0.1,-0.2,0.05,48.0,26.0,56.0,700.0,66.0,104.0,0.94,1.15,55.0,190.0,24.0,1.2,64.0,24.0
G2,IFN activation,responder-like / scTIME-AI-high,BioRep1,1.211,-0.648,2.016,4.252,3.147,2.797,1.737,2.736,-0.223,1.474,0.321,-0.527,1.35,0.9,1.75,1.95,1.15,1700.0,560.0,900.0,520.0,85.0,94.0,2.05,2.0,210.0,780.0,100.0,1.85,185.0,39.0
G2,IFN activation,responder-like / scTIME-AI-high,BioRep2,0.62,0.073,2.512,4.384,3.609,3.48,2.601,2.79,-0.022,2.224,0.114,-0.165,1.95,1.3,2.35,2.55,1.7,2520.0,900.0,1400.0,680.0,110.0,101.0,2.45,2.8,390.0,1260.0,180.0,2.55,310.0,56.0
G2,IFN activation,responder-like / scTIME-AI-high,BioRep3,1.246,0.115,2.728,4.801,3.019,3.761,1.96,3.123,-0.119,2.462,0.844,0.131,1.65,1.1,2.05,2.2,1.45,3150.0,760.0,1100.0,610.0,96.0,97.0,2.72,2.4,320.0,980.0,145.0,2.25,260.0,48.0
G2,IFN activation,responder-like / scTIME-AI-high,BioRep4,0.277,-0.05,2.667,3.742,3.479,3.174,1.087,2.339,-0.122,1.895,-0.265,-0.897,1.0,0.65,1.2,1.4,0.85,1180.0,420.0,720.0,800.0,120.0,93.0,1.55,1.55,180.0,560.0,75.0,1.45,150.0,32.0
G3,IFN + CXCL10 blockade,loss of responder axis,BioRep1,0.952,-0.331,1.988,1.487,2.308,3.008,1.008,2.213,-0.131,1.72,0.041,-0.071,0.65,0.3,0.7,0.85,0.45,390.0,380.0,980.0,560.0,90.0,92.0,1.22,1.25,135.0,420.0,58.0,1.2,115.0,24.0
G3,IFN + CXCL10 blockade,loss of responder axis,BioRep2,1.057,0.7,2.067,2.262,3.545,3.438,1.529,2.362,0.34,1.73,0.557,-0.353,1.1,0.75,1.3,1.45,0.9,980.0,720.0,1250.0,700.0,115.0,98.0,1.65,1.7,230.0,720.0,92.0,1.65,190.0,34.0
G3,IFN + CXCL10 blockade,loss of responder axis,BioRep3,1.129,0.013,2.261,2.779,3.39,3.539,1.416,3.115,0.769,1.636,0.615,0.771,0.85,0.5,1.0,1.15,0.7,620.0,500.0,850.0,650.0,105.0,95.0,1.4,1.45,170.0,560.0,72.0,1.38,145.0,28.0
G3,IFN + CXCL10 blockade,loss of responder axis,BioRep4,1.015,-0.163,2.399,1.191,2.717,4.376,1.233,2.794,0.034,1.13,0.021,-0.46,1.3,0.85,1.5,1.7,1.1,1280.0,840.0,1450.0,850.0,130.0,90.0,1.95,1.95,280.0,860.0,108.0,1.85,220.0,40.0
G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep1,0.842,2.496,1.997,1.971,1.991,2.026,0.479,0.801,2.431,0.666,2.643,1.534,0.45,-0.25,0.4,0.55,0.3,560.0,220.0,360.0,2500.0,440.0,86.0,1.05,1.05,105.0,330.0,45.0,1.05,95.0,21.0
G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep2,0.862,3.061,1.719,2.602,1.951,2.789,0.728,1.842,3.061,1.643,2.184,2.182,1.0,0.35,1.2,1.3,0.85,1120.0,540.0,760.0,3800.0,720.0,94.0,1.7,1.5,200.0,650.0,84.0,1.55,165.0,31.0
G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep3,1.306,3.596,2.13,3.188,1.741,2.505,0.917,1.358,3.46,1.8,2.6,1.998,0.65,0.05,0.7,0.85,0.55,760.0,340.0,520.0,3100.0,600.0,89.0,1.28,1.3,145.0,440.0,60.0,1.28,125.0,25.0
G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep4,0.041,3.216,1.775,3.029,2.103,1.819,0.771,0.701,2.436,0.754,2.467,1.343,1.15,0.45,1.4,1.55,0.95,1500.0,700.0,930.0,1900.0,360.0,91.0,1.82,1.85,260.0,780.0,96.0,1.75,205.0,36.0
