condition,condition_name,model_interpretation,biological_replicate,z_tumor_qPCR_CXCL10,z_tumor_qPCR_CXCL9,z_tumor_qPCR_CXCL11,z_tumor_qPCR_HLA-A,z_tumor_qPCR_B2M,z_tumor_qPCR_STAT1,z_tumor_qPCR_IFIT1,z_tumor_qPCR_CD274,z_tumor_qPCR_SPP1,z_tumor_qPCR_TGFB1,z_tumor_qPCR_CA9,z_tumor_qPCR_VEGFA,z_tcell_qPCR_GZMB,z_tcell_qPCR_PRF1,z_tcell_qPCR_IFNG,z_tcell_qPCR_CXCR3,z_tcell_qPCR_CD69,z_secretome_CXCL10_bioavailable_pg_ml,z_secretome_CXCL9_pg_ml,z_secretome_CXCL11_pg_ml,z_secretome_SPP1_pg_ml,z_secretome_TGFB1_pg_ml,z_activation_IFNG_pg_ml,z_activation_GranzymeB_pg_ml,z_activation_TNFA_pg_ml,z_activation_IL2_pg_ml,z_function_LDH_killing_index,z_function_Caspase3_7_index,z_function_tumor_viability_loss_pct,z_function_migration_index,positive_feature_mean_z,exclusion_feature_mean_z,experimental_scTIME_AI_like_score,CXCL10_secretome_index,IFN_antigen_qPCR_index,exclusion_qPCR_secretome_index,CD8_migration_index,T_cell_activation_index,tumor_killing_index
G1,Control,baseline,BioRep1,-1.4392,-1.696,-1.6663,-1.4842,-0.2555,-1.8689,-1.6272,-1.7304,-0.5941,-0.7678,-0.9796,-0.1825,-1.5632,-1.5555,-1.7213,-1.0661,-1.6485,-1.9726,-2.1699,-2.0501,-1.2407,-1.0977,-1.8814,-1.8802,-1.7771,-1.8342,-1.5547,-1.5607,-1.7003,-1.472,-1.4802,-0.631,-0.8492,-1.9726,-1.4339,-0.8104,-1.472,-1.8432,-1.6052
G1,Control,baseline,BioRep2,-1.7863,-1.8387,-1.7509,-0.8483,-1.047,-1.6568,-1.6809,-1.5867,-0.5233,-0.714,-0.4905,-0.8167,-1.2151,-1.1654,-1.1443,-0.7203,-1.2135,-1.6312,-1.834,-1.7654,-0.7908,-0.8187,-0.8624,-1.0728,-0.7651,-0.7697,-1.0442,-1.0765,-0.9767,-1.1436,-1.4409,-0.6361,-0.8048,-1.6312,-1.5155,-0.6923,-1.1436,-0.8675,-1.0325
G1,Control,baseline,BioRep3,-1.4573,-1.6739,-1.6945,-1.3414,-1.6452,-1.6359,-1.3109,-1.9731,-0.9472,-0.9219,-0.6373,-0.2785,-1.7721,-1.7505,-1.5289,-1.5271,-1.7355,-1.5252,-1.6644,-1.6169,-0.9556,-0.6379,-1.3378,-1.4887,-1.343,-1.3748,-1.3632,-1.3,-1.4289,-0.8925,-1.5623,-0.6962,-0.866,-1.5252,-1.537,-0.7297,-0.8925,-1.3861,-1.364
G1,Control,baseline,BioRep4,-1.7314,-2.0256,-2.0095,-1.8706,-2.0299,-1.4719,-1.7511,-2.0731,-0.919,-0.9704,-0.602,-0.8834,-1.424,-1.4579,-1.8495,-1.1813,-1.5615,-2.15,-1.9783,-2.1704,-0.5496,-1.2719,-2.0703,-2.0324,-1.977,-2.1141,-0.8316,-0.9461,-0.7959,-1.3561,-1.796,-0.8437,-0.9523,-2.15,-1.8415,-0.866,-1.3561,-2.0485,-0.8578
G2,IFN activation,responder-like / scTIME-AI-high,BioRep1,1.139,0.2492,0.8284,1.1186,0.9851,0.2606,0.9374,0.2588,-0.9361,-0.5052,-1.186,-1.1572,0.8739,0.6875,0.9071,0.8932,0.7003,0.7219,0.4876,0.4698,-1.0146,-0.9268,0.6018,0.3294,0.404,0.5189,0.5508,0.6369,0.5607,0.7881,0.811,-0.9461,1.7571,0.7219,0.7883,-0.9543,0.7881,0.4635,0.5828
G2,IFN activation,responder-like / scTIME-AI-high,BioRep2,1.2241,0.7517,1.2114,2.3645,-0.1027,1.2369,0.9874,0.7754,-0.7647,-0.7235,-0.6201,-0.7336,1.7095,1.7603,1.6764,1.8152,1.7442,1.0405,0.8819,0.8821,-0.595,-0.5742,1.5109,1.4276,1.5682,1.619,2.0396,2.1269,2.0982,1.5608,1.2288,-0.7105,1.9393,1.0405,1.0962,-0.6685,1.5608,1.5314,2.0882
G2,IFN activation,responder-like / scTIME-AI-high,BioRep3,1.4931,0.9585,0.7222,1.4402,1.0496,1.5467,1.2954,1.0003,-0.8474,0.0465,-0.5871,-0.3873,1.2917,1.2727,1.2276,1.3542,1.2222,1.2211,0.6666,0.7352,-0.7649,-0.7605,1.0345,1.0764,1.1712,1.2138,1.4015,1.3819,1.3747,2.0824,1.225,-0.4438,1.6688,1.2211,1.2151,-0.5501,2.0824,1.124,1.386
G2,IFN activation,responder-like / scTIME-AI-high,BioRep4,0.81,0.5266,1.1036,0.1813,-0.7341,0.8086,0.5703,0.9368,-0.8499,-1.1233,-0.7166,-1.5901,0.1079,0.1024,0.2019,0.3169,0.0913,0.4265,0.2885,0.22,-0.3406,-0.4549,-0.0259,0.0563,-0.0681,-0.0174,-0.2999,-0.2011,-0.0724,-0.1777,0.3974,-1.07,1.4673,0.4265,0.4666,-0.8459,-0.1777,-0.0138,-0.1911
G3,IFN + CXCL10 blockade,loss of responder axis,BioRep1,-0.6445,0.4045,0.1328,0.0674,0.5084,0.5808,0.4537,0.2296,-0.8576,-0.8005,-0.9372,-0.6236,-0.5884,-0.6778,-0.5032,-0.4898,-0.5176,-0.4684,0.5635,0.1331,-0.8987,-0.8487,-0.5707,-0.4526,-0.6653,-0.4949,-0.8316,-0.7599,-0.7959,-0.8152,0.0457,-0.8047,0.8505,-0.4684,0.2147,-0.8277,-0.8152,-0.5459,-0.7958
G3,IFN + CXCL10 blockade,loss of responder axis,BioRep2,-0.1446,0.7208,1.1583,0.8187,0.7017,0.5938,0.5915,0.3119,-0.4559,-0.2562,-0.1279,-0.9536,0.2472,0.1999,0.266,0.5474,0.2653,0.2763,0.7807,0.6882,-0.5496,-0.5133,0.4502,0.4906,0.4641,0.3633,0.1255,0.0782,0.1085,0.0155,0.5504,-0.4484,0.9988,0.2763,0.6343,-0.4761,0.0155,0.442,0.1041
