assay,condition,condition_name,model_interpretation,biological_replicate,analyte,value,unit
ELISA_or_multiplex,G1,Control,baseline,BioRep1,CXCL10_bioavailable_pg_ml,60,pg/mL
ELISA_or_multiplex,G1,Control,baseline,BioRep1,CXCL9_pg_ml,45,pg/mL
ELISA_or_multiplex,G1,Control,baseline,BioRep1,CXCL11_pg_ml,30,pg/mL
ELISA_or_multiplex,G1,Control,baseline,BioRep1,SPP1_pg_ml,450,pg/mL
ELISA_or_multiplex,G1,Control,baseline,BioRep1,TGFB1_pg_ml,75,pg/mL
CellTiter-Glo,G1,Control,baseline,BioRep1,celltiter_glo_pct,98,% of G1 mean
ELISA_or_multiplex,G1,Control,baseline,BioRep2,CXCL10_bioavailable_pg_ml,92,pg/mL
ELISA_or_multiplex,G1,Control,baseline,BioRep2,CXCL9_pg_ml,66,pg/mL
ELISA_or_multiplex,G1,Control,baseline,BioRep2,CXCL11_pg_ml,42,pg/mL
ELISA_or_multiplex,G1,Control,baseline,BioRep2,SPP1_pg_ml,600,pg/mL
ELISA_or_multiplex,G1,Control,baseline,BioRep2,TGFB1_pg_ml,92,pg/mL
CellTiter-Glo,G1,Control,baseline,BioRep2,celltiter_glo_pct,102,% of G1 mean
ELISA_or_multiplex,G1,Control,baseline,BioRep3,CXCL10_bioavailable_pg_ml,105,pg/mL
ELISA_or_multiplex,G1,Control,baseline,BioRep3,CXCL9_pg_ml,80,pg/mL
ELISA_or_multiplex,G1,Control,baseline,BioRep3,CXCL11_pg_ml,50,pg/mL
ELISA_or_multiplex,G1,Control,baseline,BioRep3,SPP1_pg_ml,540,pg/mL
ELISA_or_multiplex,G1,Control,baseline,BioRep3,TGFB1_pg_ml,105,pg/mL
CellTiter-Glo,G1,Control,baseline,BioRep3,celltiter_glo_pct,96,% of G1 mean
ELISA_or_multiplex,G1,Control,baseline,BioRep4,CXCL10_bioavailable_pg_ml,48,pg/mL
ELISA_or_multiplex,G1,Control,baseline,BioRep4,CXCL9_pg_ml,56,pg/mL
ELISA_or_multiplex,G1,Control,baseline,BioRep4,CXCL11_pg_ml,26,pg/mL
ELISA_or_multiplex,G1,Control,baseline,BioRep4,SPP1_pg_ml,700,pg/mL
ELISA_or_multiplex,G1,Control,baseline,BioRep4,TGFB1_pg_ml,66,pg/mL
CellTiter-Glo,G1,Control,baseline,BioRep4,celltiter_glo_pct,104,% of G1 mean
ELISA_or_multiplex,G2,IFN activation,responder-like / scTIME-AI-high,BioRep1,CXCL10_bioavailable_pg_ml,1700,pg/mL
ELISA_or_multiplex,G2,IFN activation,responder-like / scTIME-AI-high,BioRep1,CXCL9_pg_ml,900,pg/mL
ELISA_or_multiplex,G2,IFN activation,responder-like / scTIME-AI-high,BioRep1,CXCL11_pg_ml,560,pg/mL
ELISA_or_multiplex,G2,IFN activation,responder-like / scTIME-AI-high,BioRep1,SPP1_pg_ml,520,pg/mL
ELISA_or_multiplex,G2,IFN activation,responder-like / scTIME-AI-high,BioRep1,TGFB1_pg_ml,85,pg/mL
