endpoint,comparison,rationale,mean_first_group,mean_second_group,difference_first_minus_second,permutation_p_two_sided,complete_replicate_separation
CXCL10_secretome_index,G2 vs G1,IFN activation axis,0.8525,-1.8197,2.6723,0.0286,True
CXCL10_secretome_index,G3 vs G2,CXCL10 dependency,0.0516,0.8525,-0.8009,0.0571,False
CXCL10_secretome_index,G4 vs G2,exclusion counter-axis,0.2249,0.8525,-0.6276,0.0571,False
CXCL10_secretome_index,G5 vs G4,rescue,0.6908,0.2249,0.4659,0.1429,False
IFN_antigen_qPCR_index,G2 vs G1,IFN activation axis,0.8916,-1.582,2.4735,0.0286,True
IFN_antigen_qPCR_index,G3 vs G2,CXCL10 dependency,0.5026,0.8916,-0.3889,0.1143,False
IFN_antigen_qPCR_index,G4 vs G2,exclusion counter-axis,-0.1317,0.8916,-1.0233,0.0286,True
IFN_antigen_qPCR_index,G5 vs G4,rescue,0.3195,-0.1317,0.4512,0.1714,False
exclusion_qPCR_secretome_index,G2 vs G1,IFN activation axis,-0.7547,-0.7746,0.0199,0.8286,False
exclusion_qPCR_secretome_index,G3 vs G2,CXCL10 dependency,-0.5721,-0.7547,0.1826,0.2286,False
exclusion_qPCR_secretome_index,G4 vs G2,exclusion counter-axis,1.6409,-0.7547,2.3957,0.0286,True
exclusion_qPCR_secretome_index,G5 vs G4,rescue,0.4605,1.6409,-1.1805,0.0286,True
CD8_migration_index,G2 vs G1,IFN activation axis,1.0634,-1.216,2.2794,0.0286,True
CD8_migration_index,G3 vs G2,CXCL10 dependency,-0.1681,1.0634,-1.2315,0.1143,False
CD8_migration_index,G4 vs G2,exclusion counter-axis,-0.3467,1.0634,-1.4102,0.0857,False
CD8_migration_index,G5 vs G4,rescue,0.6674,-0.3467,1.0142,0.1143,False
T_cell_activation_index,G2 vs G1,IFN activation axis,0.7763,-1.5363,2.3126,0.0286,True
T_cell_activation_index,G3 vs G2,CXCL10 dependency,0.1475,0.7763,-0.6288,0.2,False
T_cell_activation_index,G4 vs G2,exclusion counter-axis,-0.1546,0.7763,-0.9309,0.1429,False
T_cell_activation_index,G5 vs G4,rescue,0.7671,-0.1546,0.9217,0.1429,False
tumor_killing_index,G2 vs G1,IFN activation axis,0.9665,-1.2149,2.1814,0.0286,True
tumor_killing_index,G3 vs G2,CXCL10 dependency,-0.1333,0.9665,-1.0998,0.1143,False
tumor_killing_index,G4 vs G2,exclusion counter-axis,-0.4119,0.9665,-1.3784,0.0857,False
tumor_killing_index,G5 vs G4,rescue,0.7936,-0.4119,1.2055,0.0571,False
experimental_scTIME_AI_like_score,G2 vs G1,IFN activation axis,1.7081,-0.8681,2.5762,0.0286,True
experimental_scTIME_AI_like_score,G3 vs G2,CXCL10 dependency,0.9619,1.7081,-0.7463,0.0286,True
experimental_scTIME_AI_like_score,G4 vs G2,exclusion counter-axis,-1.839,1.7081,-3.5471,0.0286,True
experimental_scTIME_AI_like_score,G5 vs G4,rescue,0.0371,-1.839,1.8761,0.0286,True
