assay,cell_line,condition,condition_name,model_interpretation,biological_replicate,gene,feature_class,housekeeping_gene,housekeeping_Ct,target_Ct,delta_Ct,delta_delta_Ct,relative_expression_2ddct,log2_relative_expression
tumor_qPCR,A549,G1,Control,baseline,BioRep1,CXCL10,responder,GAPDH,18.481,29.959,11.478,-0.254,1.193,0.255
tumor_qPCR,A549,G1,Control,baseline,BioRep1,CXCL9,responder,GAPDH,18.481,30.274,11.793,-0.153,1.112,0.153
tumor_qPCR,A549,G1,Control,baseline,BioRep1,CXCL11,responder,GAPDH,18.481,30.653,12.172,-0.137,1.1,0.138
tumor_qPCR,A549,G1,Control,baseline,BioRep1,HLA-A,responder,GAPDH,18.481,24.77,6.289,0.067,0.954,-0.068
tumor_qPCR,A549,G1,Control,baseline,BioRep1,B2M,responder,GAPDH,18.481,23.374,4.893,-0.537,1.451,0.537
tumor_qPCR,A549,G1,Control,baseline,BioRep1,STAT1,responder,GAPDH,18.481,26.425,7.944,0.161,0.894,-0.162
tumor_qPCR,A549,G1,Control,baseline,BioRep1,IFIT1,responder,GAPDH,18.481,28.159,9.678,0.037,0.975,-0.037
tumor_qPCR,A549,G1,Control,baseline,BioRep1,CD274,checkpoint,GAPDH,18.481,29.046,10.565,-0.106,1.076,0.106
tumor_qPCR,A549,G1,Control,baseline,BioRep1,SPP1,exclusion,GAPDH,18.481,27.225,8.744,-0.178,1.131,0.178
tumor_qPCR,A549,G1,Control,baseline,BioRep1,TGFB1,exclusion,GAPDH,18.481,27.737,9.256,-0.071,1.051,0.072
tumor_qPCR,A549,G1,Control,baseline,BioRep1,CA9,exclusion,GAPDH,18.481,28.813,10.332,0.386,0.766,-0.385
tumor_qPCR,A549,G1,Control,baseline,BioRep1,VEGFA,exclusion,GAPDH,18.481,25.866,7.385,-0.306,1.236,0.306
tumor_qPCR,A549,G1,Control,baseline,BioRep2,CXCL10,responder,GAPDH,18.43,30.444,12.014,0.282,0.822,-0.283
tumor_qPCR,A549,G1,Control,baseline,BioRep2,CXCL9,responder,GAPDH,18.43,30.417,11.987,0.041,0.972,-0.041
tumor_qPCR,A549,G1,Control,baseline,BioRep2,CXCL11,responder,GAPDH,18.43,30.704,12.274,-0.035,1.025,0.036
tumor_qPCR,A549,G1,Control,baseline,BioRep2,HLA-A,responder,GAPDH,18.43,24.279,5.849,-0.373,1.295,0.373
tumor_qPCR,A549,G1,Control,baseline,BioRep2,B2M,responder,GAPDH,18.43,23.753,5.323,-0.107,1.077,0.107
tumor_qPCR,A549,G1,Control,baseline,BioRep2,STAT1,responder,GAPDH,18.43,26.212,7.782,-0.001,1.001,0.001
tumor_qPCR,A549,G1,Control,baseline,BioRep2,IFIT1,responder,GAPDH,18.43,28.167,9.737,0.096,0.936,-0.095
tumor_qPCR,A549,G1,Control,baseline,BioRep2,CD274,checkpoint,GAPDH,18.43,28.857,10.427,-0.244,1.184,0.244
tumor_qPCR,A549,G1,Control,baseline,BioRep2,SPP1,exclusion,GAPDH,18.43,27.091,8.661,-0.261,1.198,0.261
tumor_qPCR,A549,G1,Control,baseline,BioRep2,TGFB1,exclusion,GAPDH,18.43,27.634,9.204,-0.123,1.089,0.123
tumor_qPCR,A549,G1,Control,baseline,BioRep2,CA9,exclusion,GAPDH,18.43,28.139,9.709,-0.238,1.179,0.238
tumor_qPCR,A549,G1,Control,baseline,BioRep2,VEGFA,exclusion,GAPDH,18.43,26.358,7.928,0.237,0.849,-0.236
tumor_qPCR,A549,G1,Control,baseline,BioRep3,CXCL10,responder,GAPDH,18.503,30.009,11.506,-0.226,1.17,0.227
tumor_qPCR,A549,G1,Control,baseline,BioRep3,CXCL9,responder,GAPDH,18.503,30.266,11.763,-0.183,1.135,0.183
tumor_qPCR,A549,G1,Control,baseline,BioRep3,CXCL11,responder,GAPDH,18.503,30.708,12.205,-0.104,1.075,0.104
tumor_qPCR,A549,G1,Control,baseline,BioRep3,HLA-A,responder,GAPDH,18.503,24.693,6.19,-0.032,1.022,0.031
tumor_qPCR,A549,G1,Control,baseline,BioRep3,B2M,responder,GAPDH,18.503,24.151,5.648,0.218,0.86,-0.218
tumor_qPCR,A549,G1,Control,baseline,BioRep3,STAT1,responder,GAPDH,18.503,26.269,7.766,-0.017,1.012,0.017
tumor_qPCR,A549,G1,Control,baseline,BioRep3,IFIT1,responder,GAPDH,18.503,27.839,9.336,-0.305,1.235,0.305
tumor_qPCR,A549,G1,Control,baseline,BioRep3,CD274,checkpoint,GAPDH,18.503,29.301,10.798,0.127,0.916,-0.127
tumor_qPCR,A549,G1,Control,baseline,BioRep3,SPP1,exclusion,GAPDH,18.503,27.662,9.159,0.237,0.849,-0.236
tumor_qPCR,A549,G1,Control,baseline,BioRep3,TGFB1,exclusion,GAPDH,18.503,27.904,9.401,0.074,0.95,-0.074
tumor_qPCR,A549,G1,Control,baseline,BioRep3,CA9,exclusion,GAPDH,18.503,28.398,9.895,-0.052,1.036,0.051
tumor_qPCR,A549,G1,Control,baseline,BioRep3,VEGFA,exclusion,GAPDH,18.503,25.97,7.467,-0.224,1.168,0.224
tumor_qPCR,A549,G1,Control,baseline,BioRep4,CXCL10,responder,GAPDH,18.483,30.413,11.93,0.198,0.872,-0.198
tumor_qPCR,A549,G1,Control,baseline,BioRep4,CXCL9,responder,GAPDH,18.483,30.725,12.242,0.296,0.815,-0.295
tumor_qPCR,A549,G1,Control,baseline,BioRep4,CXCL11,responder,GAPDH,18.483,31.068,12.585,0.276,0.826,-0.276
tumor_qPCR,A549,G1,Control,baseline,BioRep4,HLA-A,responder,GAPDH,18.483,25.042,6.559,0.337,0.792,-0.336
tumor_qPCR,A549,G1,Control,baseline,BioRep4,B2M,responder,GAPDH,18.483,24.34,5.857,0.427,0.744,-0.427
tumor_qPCR,A549,G1,Control,baseline,BioRep4,STAT1,responder,GAPDH,18.483,26.123,7.64,-0.143,1.104,0.143
tumor_qPCR,A549,G1,Control,baseline,BioRep4,IFIT1,responder,GAPDH,18.483,28.296,9.813,0.172,0.888,-0.171
tumor_qPCR,A549,G1,Control,baseline,BioRep4,CD274,checkpoint,GAPDH,18.483,29.377,10.894,0.223,0.857,-0.223
tumor_qPCR,A549,G1,Control,baseline,BioRep4,SPP1,exclusion,GAPDH,18.483,27.607,9.124,0.202,0.869,-0.203
tumor_qPCR,A549,G1,Control,baseline,BioRep4,TGFB1,exclusion,GAPDH,18.483,27.931,9.448,0.121,0.92,-0.12
tumor_qPCR,A549,G1,Control,baseline,BioRep4,CA9,exclusion,GAPDH,18.483,28.333,9.85,-0.097,1.069,0.096
tumor_qPCR,A549,G1,Control,baseline,BioRep4,VEGFA,exclusion,GAPDH,18.483,26.468,7.985,0.294,0.816,-0.293
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep1,CXCL10,responder,GAPDH,18.439,25.919,7.48,-4.252,19.054,4.252
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep1,CXCL9,responder,GAPDH,18.439,27.588,9.149,-2.797,6.951,2.797
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep1,CXCL11,responder,GAPDH,18.439,27.601,9.162,-3.147,8.858,3.147
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep1,HLA-A,responder,GAPDH,18.439,22.924,4.485,-1.737,3.333,1.737
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep1,B2M,responder,GAPDH,18.439,22.658,4.219,-1.211,2.315,1.211
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep1,STAT1,responder,GAPDH,18.439,24.748,6.309,-1.474,2.778,1.474
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep1,IFIT1,responder,GAPDH,18.439,25.344,6.905,-2.736,6.662,2.736
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep1,CD274,checkpoint,GAPDH,18.439,27.094,8.655,-2.016,4.045,2.016
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep1,SPP1,exclusion,GAPDH,18.439,27.583,9.144,0.222,0.857,-0.223
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep1,TGFB1,exclusion,GAPDH,18.439,27.445,9.006,-0.321,1.249,0.321
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep1,CA9,exclusion,GAPDH,18.439,29.033,10.594,0.647,0.638,-0.648
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep1,VEGFA,exclusion,GAPDH,18.439,26.657,8.218,0.527,0.694,-0.527
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep2,CXCL10,responder,GAPDH,18.61,25.958,7.348,-4.384,20.879,4.384
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep2,CXCL9,responder,GAPDH,18.61,27.076,8.466,-3.48,11.16,3.48
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep2,CXCL11,responder,GAPDH,18.61,27.31,8.7,-3.609,12.202,3.609
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep2,HLA-A,responder,GAPDH,18.61,22.231,3.621,-2.601,6.066,2.601
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep2,B2M,responder,GAPDH,18.61,23.42,4.81,-0.62,1.537,0.62
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep2,STAT1,responder,GAPDH,18.61,24.169,5.559,-2.224,4.672,2.224
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep2,IFIT1,responder,GAPDH,18.61,25.461,6.851,-2.79,6.916,2.79
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep2,CD274,checkpoint,GAPDH,18.61,26.769,8.159,-2.512,5.704,2.512
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep2,SPP1,exclusion,GAPDH,18.61,27.554,8.944,0.022,0.985,-0.022
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep2,TGFB1,exclusion,GAPDH,18.61,27.824,9.214,-0.113,1.082,0.114
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep2,CA9,exclusion,GAPDH,18.61,28.483,9.873,-0.074,1.052,0.073
